Order ID,Order Date,Origin Port,Carrier,TPT,Service Level,Ship ahead day count,Ship Late Day count,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight
1447296447,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,808,14.3
1447158015,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,3188,87.94
1447138899,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2331,61.2
1447363528,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,847,16.16
1447363981,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2163,52.34
1447351441,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,3332,92.8
1447320236,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,1782,46.9
1447158019,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,427,2.86
1447219341,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,1291,26.6
1447398416,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2294,62.2
1447381679,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2766,75.5
1447170785,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,798,14.3
1447155056,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,739,73.9
1447257265,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,280,7.8
1447240989,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,574,59.5
1447257231,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,556,52.7
1447260653,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,544,58.5
1447139375,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,1151,181.7
1447308590,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,1404,227.2
1447191271,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,662,74.1
1447191284,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,836,80.43
1447352426,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,2063,265.1
1447211829,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,2114,267.1
1447232833,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,2108,271.1
1447205081,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,1120,112.6
1447365980,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702654,PLANT16,PORT09,706,61.8
1447157118,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,889,107.88
1447398413,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,1793,216.57
1447377319,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,491,27.81
1447257239,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,1044,112.6
1447368959,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702653,PLANT16,PORT09,447,32.9
1447308591,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,328,13.36
1447398479,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,973,106.88
1447377316,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,1179,129.14
1447365993,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702653,PLANT16,PORT09,814,74.25
1447223051,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,1464,171.22
1447260686,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,347,6.18
1447299202,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,771,77.25
1447330061,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,469,27.9
1447260670,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,382,15.45
1447157119,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,507,43.17
1447205082,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,419,16.45
1447398412,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1702654,PLANT16,PORT09,452,33.9
1447257238,26/05/2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,486,24.72
